sep=;
# Horario Semana 2

;;2;3;4;5;6;7;8;
ID;NOMBRE;LUN;MAR;MIE;JUE;VIE;SAB;DOM;
100;Arabela;Quetzalcoatl;NOCHE;LIBRE;ELARGO;LARGO;NOCHE;LIBRE;LIBRE
110;Joana;Zapatero;NOCHE;LIBRE;ELARGO;LARGO;NOCHE;LIBRE;ELARGO
111;Gabbi;Perez;NOCHE;SOLICITUD;SOLICITUD;SOLICITUD;LARGO;NOCHE;LIBRE
121;Esme;Wu;LIBRE;LIBRE;LARGO;NOCHE;LIBRE;LIBRE;LARGO
131;Kitty;Yrizabal;DIA;DIA;DIA;DIA;DIA;LIBRE;LIBRE
133;Nepe;Nose;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE
145;bla;bla;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE
222;Arabela;Gutierrez;LIBRE;INCAPACIDAD;INCAPACIDAD;INCAPACIDAD;INCAPACIDAD;INCAPACIDAD;INCAPACIDAD
333;Joana;Velez;LIBRE;INCAPACIDAD;INCAPACIDAD;INCAPACIDAD;INCAPACIDAD;INCAPACIDAD;INCAPACIDAD
444;Esme;Pavarotti;LARGO;NOCHE;LIBRE;ENOCHE;LIBRE;LARGO;NOCHE
555;Gabbi;Hernandez;LARGO;NOCHE;LIBRE;ENOCHE;LIBRE;LARGO;NOCHE
666;Arabela;Henriquez;LARGO;NOCHE;LIBRE;ELARGO;LARGO;NOCHE;LIBRE
777;Joana;Kowalsky;LIBRE;LARGO;NOCHE;LIBRE;LIBRE;LARGO;NOCHE
888;Esme;Kira;LIBRE;LARGO;NOCHE;LIBRE;ENOCHE;LIBRE;LARGO
999;Gabbi;Quiroga;LIBRE;LARGO;NOCHE;LIBRE;ELARGO;NOCHE;LIBRE

;LUTO;0;0;0;0;0;0;0
;AUSENTE;0;0;0;0;0;0;0
;SOLICITUD;0;1;1;1;0;0;0
;INCAPACIDAD;0;2;2;2;2;2;2
;VACACION;0;0;0;0;0;0;0
;LIBRE;8;5;5;5;6;7;7
;LARGO;3;3;3;3;3;3;3
;NOCHE;3;3;3;3;3;3;3
;EDIA;1;1;1;1;1;0;0
