sep=;
# Horario Semana 4

;;16;17;18;19;20;21;22;
ID;NOMBRE;LUN;MAR;MIE;JUE;VIE;SAB;DOM;
100;Arabela;Quetzalcoatl;LIBRE;LARGO;NOCHE;LIBRE;LIBRE;LARGO;NOCHE
110;Joana;Zapatero;NOCHE;LIBRE;LIBRE;LARGO;NOCHE;LIBRE;LIBRE
111;Gabbi;Perez;NOCHE;LIBRE;ENOCHE;LIBRE;LARGO;NOCHE;LIBRE
121;Esme;Wu;LARGO;NOCHE;LIBRE;LIBRE;LARGO;NOCHE;LIBRE
131;Kitty;Yrizabal;DIA;DIA;DIA;DIA;DIA;LIBRE;LIBRE
133;Nepe;Nose;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE
145;bla;bla;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE
222;Arabela;Gutierrez;LIBRE;LARGO;NOCHE;LIBRE;LIBRE;LARGO;NOCHE
333;Joana;Velez;LIBRE;ELARGO;LARGO;NOCHE;LIBRE;LIBRE;LARGO
444;Esme;Pavarotti;LARGO;NOCHE;LIBRE;LIBRE;LARGO;NOCHE;LIBRE
555;Gabbi;Hernandez;LIBRE;LIBRE;LARGO;NOCHE;LIBRE;ELARGO;LARGO
666;Arabela;Henriquez;LIBRE;LIBRE;LARGO;NOCHE;LIBRE;LIBRE;LARGO
777;Joana;Kowalsky;LARGO;NOCHE;LIBRE;ELARGO;NOCHE;LIBRE;LIBRE
888;Esme;Kira;NOCHE;LIBRE;LIBRE;LARGO;NOCHE;LIBRE;ENOCHE
999;Gabbi;Quiroga;VACACION;VACACION;VACACION;VACACION;VACACION;VACACION;VACACION

;LUTO;0;0;0;0;0;0;0
;AUSENTE;0;0;0;0;0;0;0
;SOLICITUD;0;0;0;0;0;0;0
;INCAPACIDAD;0;0;0;0;0;0;0
;VACACION;1;1;1;1;1;1;1
;LIBRE;7;7;7;7;7;8;8
;LARGO;3;3;3;3;3;3;3
;NOCHE;3;3;3;3;3;3;3
;EDIA;1;1;1;1;1;0;0
